ticker,name,sector,market_cap,EPS,PE_ratio,ROE,PB_ratio,div_payout_ratio,PS_ratio,FCF,divident_yield,debt_equity,earnings_growth
EMI.JO,Emira Property Fund Ltd,Real Estate,509326557184.0,0.955,1039.7906,0.06279,65.42795,0.8615,269.06357,507769984.0,0.1355,72.392,1.58
EMN.JO,E Media Holdings Ltd -N-,Communication Services,145021796352.0,0.449,857.461,0.0841,63.395355,0.2929,49.994293,924313984.0,0.09020001,14.143,
ENX.JO,enX Group LImited,Industrials,141466271744.0,1.653,471.86932,0.06414,53.889732,0.0,32.63659,-481473248.0,,82.031,
EOH.JO,EOH Holdings Ltd,Technology,113067859968.0,-1.66,,-1.00112,717.3447,0.0,16.44812,120343376.0,,1535.953,
EPE.JO,EPE Capital Partners Ltd,Financial Services,130552496128.0,0.018,28166.668,0.00271,76.05761,0.0,4012.9253,4629125.0,,9.087,
EPP.JO,EPP N.V.,Real Estate,1048678825984.0,-1.076,,-0.05629,1127.9297,0.0,6645.8726,27992500.0,,157.926,
EPS.JO,Eastern Platinum Ltd,Basic Materials,53750185984.0,0.481,810.8108,0.04091,409.234,0.0,785.69507,-13204125.0,,60.164,
EQU.JO,Equites Prop Fund Ltd,Real Estate,1665588789248.0,2.625,870.8571,0.15112,129.64328,0.58599997,1140.8595,122191624.0,0.0698,44.016,
ETO.JO,Etion Limited,Technology,24269672448.0,0.205,209.7561,0.09352,56.5046,0.0,36.267563,-33588752.0,,13.536,
EUZ.JO,Europa Metals Limited,Basic Materials,8704365568.0,-0.804,,-1.3224499,2244.898,0.0,58997.848,-1653749.0,,5.691,
EXP.JO,Exemplar REITail Ltd,Real Estate,318999363584.0,1.025,936.5854,0.09402,87.04325,0.8296,355.01178,7851583.0,0.0945,68.717,
EXX.JO,Exxaro Resources Ltd,Energy,6164959985664.0,44.601,391.98672,0.25636998,108.749466,0.48400003,205.56718,3363249920.0,0.2599,22.97,
FBR.JO,Famous Brands Ltd,Consumer Cyclical,786585681920.0,3.923,2001.0195,3.2978,2266.1663,0.0,138.51051,123559624.0,,364.605,
FFA.JO,Fortress REIT Ltd A,Real Estate,1493183889408.0,1.559,822.322,0.13171,104.54212,0.1475,379.03494,236747376.0,0.0586,61.687,
FFB.JO,Fortress REIT Ltd B,Real Estate,338932432896.0,1.559,230.91725,0.13171,29.356602,0.0,86.035774,236747376.0,,61.687,1.44
