Code,Market Cap,Last trade,Change,%Change,Sector
ZED,"	4907570000",3.29,0.11,3.46,Financials
TGO,"	4891870000",3.34,0.03,0.91,Consumer Services
MIX,"	4852070000",7.49,-0.51,-6.38,Industrials
EMI,"	4808540000",9.25,0.05,0.54,Financials
MED,"	4786390000",0,0,0,Basic Materials
MPT,"	4652710000",32.86,1.46,4.65,Industrials
BLU,"	4613960000",5.1,0.05,0.99,Telecommunications
GSH,"	4325830000",227.69,3.67,1.64,Industrials
HDC,"	4216180000",130,0.35,0.27,Industrials
LBR,"	4200640000",6.35,0.19,3.08,Consumer Goods
L2D,"	4197010000",4.78,0.16,3.46,Financials
MTNZF,"	4085100000",32.51,-0.59,-1.78,Financials
NT1,"	4059470000",75,2.99,4.15,Industrials
L4L,"	4054040000",5.76,0.05,0.88,Financials
REN,"	3993540000",31.5,-0.77,-2.39,Oil & Gas
SHG,"	3989860000",13.3,-0.05,-0.37,Consumer Goods
AHB,"	3596380000",3.87,0.09,2.38,Financials
AEL,"	3529030000",8.66,-0.04,-0.46,Technology
GML,"	3496740000",2.9,-0.09,-3.01,Basic Materials
FFB,"	3454550000",3.06,-0.1,-3.16,Financials
KAL,"	3374750000",45.4,-0.1,-0.22,Consumer Services
CLI,"	3353220000",10,0,0,Financials
GND,"	3322630000",4.89,0.13,2.73,Industrials
AEG,"	3302380000",26.71,0.36,1.37,Industrials
RFG,"	3203070000",11.66,-0.53,-4.35,Consumer Goods
EXP,"	3189990000",9.6,0,0,Financials
SDO,"	3061980000",3.52,-0.09,-2.49,Consumer Services
ACT,"	3045840000",5.1,-0.18,-3.41,Health Care
CAT,"	3031830000",8.2,-0.1,-1.2,Consumer Services
SCD,"	3009030000",22.51,0.01,0.04,Financials
LEW,"	2968210000",44.1,-0.9,-2,Consumer Services
HET,"	2947400000",11.5,0,0,Financials
CLH,"	2890730000",4.9,0.16,3.38,Consumer Services
IVT,"	2863430000",27,0,0,Industrials
MRF,"	2799020000",1.11,-0.01,-0.89,Basic Materials
HIL,"	2774990000",26.5,0.5,1.92,Consumer Services
SYG,"	2738290000",18.25,-0.05,-0.27,Financials
PPE,"	2681290000",2.19,-0.05,-2.23,Financials
YYLBEE,"	2664320000",51.8,1.45,2.88,Financials
TDH,"	2639600000",10.1,0,0,Financials
OAO,"	2610600000",0.21,0,0,Oil & Gas
NPK,"	2609990000",3.75,-0.03,-0.79,Industrials
ACS,"	2567240000",6.5,0,0,Financials
SBP,"	2313680000",58.5,0,0,Financials
CTA,"	2292500000",1.68,-0.07,-4,Technology
DIA,"	2170260000",8.15,-0.05,-0.61,Financials
OCT,"	2156200000",8.1,0,0,Financials
FVT,"	2103310000",2.04,0.03,1.49,Financials
TTO,"	2068530000",1.24,-0.04,-3.13,Financials
RMH,"	2046970000",1.48,0.03,2.07,Financials
AVV,"	1977910000",16.48,0.23,1.42,Technology
CRP,"	1971570000",11.78,-0.14,-1.17,Financials
DRA,"	1896630000",35,0,0,Industrials
SUR,"	1866350000",20.1,-0.41,-2,Consumer Services
CMH,"	1840880000",24.99,0.38,1.54,Consumer Services
ARH,"	1762500000",7.48,-0.02,-0.27,Industrials
BWN,"	1734840000",3.15,-0.19,-5.69,Financials
WEZ,"	1692940000",1.06,0.02,1.92,Basic Materials
MDI,"	1686580000",10.85,-0.3,-2.69,Industrials
SAR,"	1631840000",5.3,0.05,0.95,Financials
SEA,"	1573130000",7.33,0,0,Financials
MFL,"	1509280000",3.4,-0.08,-2.3,Industrials
EPE,"	1495000000",5.2,0,0,Financials
ENX,"	1458500000",7.62,-0.38,-4.75,Industrials
TEX,"	1404050000",3.5,-0.34,-8.85,Financials
AYO,"	1376500000",4,0,0,Technology
OAS,"	1361620000",20.25,0,0,Financials
BRN,"	1349860000",6.3,0.3,5,Financials
HLM,"	1345920000",4.19,0.04,0.96,Basic Materials
EMN,"	1336750000",3.5,0,0,Consumer Services
TWR,"	1269920000",3.74,0,0,Financials
GPL,"	1264360000",2.66,-0.03,-1.12,Financials
YRK,"	1225590000",3.7,0,0,Basic Materials
HPR,"	1160000000",3.82,0,0,Consumer Services
ORN,"	1155140000",0.28,0,0,Basic Materials
BEL,"	1147550000",12,0,0,Industrials
UPL,"	1144930000",18,2.27,14.43,Financials
ILU,"	1110530000",3.3,0,0,Financials
QFH,"	1074130000",5.35,-0.02,-0.37,Consumer Goods
APF,"	1072400000",1.11,0.04,3.74,Financials
EOH,"	1059270000",5.98,-0.02,-0.33,Technology
