JSE_code,Company,Market_cap,Sector
PPE,Purple Group Ltd.,2681290000,Financials
PPH,Pepkor Holdings Ltd.,81044200000,Consumer Services
PPR,Putprop Ltd.,169637000,Financials
PRX,Prosus N.V.,2.51E+12,Technology
PSG,PSG Group Ltd.,19960200000,Financials
PSV,PSV Holdings Ltd.,32718600,Industrials
QFH,Quantum Foods Holdings Ltd.,1074130000,Consumer Goods
QLT,Quilter plc,50331700000,Financials
RACP,RECM & Calibre Ltd.,,
RAV,Raven Property Group Ltd.,5381690000,Financials
RBP,Royal Bafokeng Platinum Ltd.,45719500000,Basic Materials
RBX,Raubex Group Ltd.,7097340000,Industrials
RCL,RCL Foods Ltd.,12950700000,Consumer Goods
RDF,Redefine Properties Ltd.,26692400000,Financials
REA,Rebosis Property Fund Ltd.,94899000,Financials
REB,Rebosis Property Fund Ltd.,188798000,Financials
REM,Remgro Ltd.,67618100000,Financials
REN,Renergen Ltd.,3993540000,Oil & Gas
RES,Resilient REIT Ltd.,23547400000,Financials
RFG,RFG Holdings Ltd.,3203070000,Consumer Goods
RHB,RH Bophelo Ltd.,302755000,Financials
RLO,Reunert Ltd.,9315050000,Industrials
RMH,RMB Holdings Ltd.,2046970000,Financials
RMI,Rand Merchant Investment Holdings Ltd.,67537400000,Financials
RNG,Randgold & Exploration Co Ltd.,82043600,Basic Materials
RNI,Reinet Investments SCA,55353400000,Financials
RSG,Resource Generation Ltd.,389525000,Basic Materials
RTN,Rex Trueform Group Ltd.,170313000,Consumer Services
RTO,Rex Trueform Group Ltd.,46492900,Consumer Services
RTOP,Rex Trueform Group Ltd.,,
S32,South32 Ltd.,2.07E+11,Basic Materials
SAC,SA Corporate Real Estate Ltd.,5607850000,Financials
SAP,Sappi Ltd.,25514100000,Basic Materials
SAPCB,Sappi Ltd.,,
SAR,Safari Investments RSA Ltd.,1631840000,Financials
SBK,Standard Bank Group Ltd.,2.17E+11,Financials
SBKP,Standard Bank Group Ltd.,,
SBP,Sabvest Capital Ltd.,2313680000,Financials
SBPP,Standard Bank Group Ltd.,,
SCD,Schroder European Real Estate Investment Trust Plc,3009030000,Financials
SDO,Stadio Holdings Ltd.,3061980000,Consumer Services
SEA,Spear REIT Ltd.,1573130000,Financials
SEB,Sebata Holdings Ltd.,282691000,Technology
SEP,Sephaku Holdings Ltd.,483524000,Industrials
SFN,Sasfin Holdings Ltd.,907994000,Financials
SHFF,Steinhoff Investment Holdings Ltd.,,
SHG,Sea Harvest Group Ltd.,3989860000,Consumer Goods
SHP,Shoprite Holdings Ltd.,1.22E+11,Consumer Services
SLM,Sanlam Ltd.,1.28E+11,Financials
SNH,Steinhoff International Holdings N.V.,14900900000,Consumer Services
SNT,Santam Ltd.,31070500000,Financials
SNV,Santova Ltd.,691160000,Industrials
SOH,South Ocean Holdings Ltd.,262227000,Industrials
SOL,Sasol Ltd.,1.60E+11,Basic Materials
SOLBE1,Sasol Ltd.,949702000,Basic Materials
SPA,Spanjaard Ltd.,30535700,Basic Materials
SPG,Super Group Ltd.,12649800000,Industrials
SPP,The SPAR Group Ltd.,30970500000,Consumer Services
SRE,Sirius Real Estate Ltd.,33212800000,Financials
SSK,Stefanutti Stocks Holdings Ltd.,88398000,Industrials
SSS,Stor-Age Property REIT Ltd.,6246680000,Financials
SSW,Sibanye Stillwater Ltd.,1.35E+11,Basic Materials
SUI,Sun International Ltd.,6969750000,Consumer Services
SUR,Spur Corporation Ltd.,1866350000,Consumer Services
